oepid,accreditor,pred_degree,highest_degree,control,region,admission_rate,ccbasic,in_state_tuit,out_state_tuit,prog_year_tuit,revenue_tuit,avg_faculty_salary,two_yr_default,three_yr_default,sat_avg,prop_loan,name,address,ZIP,fips,city,state,cbsa,csa,longitude,latitude,extracted_year
100200,,Bachelor,Graduate,Public,Southeast,0.8986,,9744.0,18354.0,,7413.0,7101.0,,0.182,957.0,0.7503,Alabama A & M University,"Normal, AL - 4900 Meridian Street",35762,1.0,Normal,AL,26620.0,290.0,-86.568502,34.783368,2019-01-01
105200,,Bachelor,Graduate,Public,Southeast,0.9211,,8568.0,19704.0,,13177.0,10717.0,,0.057,1220.0,0.5127,University of Alabama at Birmingham,"Birmingham, AL - Administration Bldg Suite 1070",35294-0110,1.0,Birmingham,AL,13820.0,142.0,-86.799345,33.505697,2019-01-01
2503400,,Bachelor,Graduate,Private Non-Profit,Southeast,,,6900.0,6900.0,,14273.0,4292.0,,0.11,,0.8962,Amridge University,"Montgomery, AL - 1200 Taylor Rd",36117-3553,1.0,Montgomery,AL,33860.0,388.0,-86.17401,32.362609,2019-01-01
105500,,Bachelor,Graduate,Public,Southeast,0.8087,,10714.0,22362.0,,8677.0,9442.0,,0.059,1314.0,0.4192,University of Alabama in Huntsville,"Huntsville, AL - 301 Sparkman Dr",35899,1.0,Huntsville,AL,26620.0,290.0,-86.640449,34.724557,2019-01-01
100500,,Bachelor,Graduate,Public,Southeast,0.9774,,11068.0,19396.0,,10160.0,7754.0,,0.203,972.0,0.7845,Alabama State University,"Montgomery, AL - 915 S Jackson Street",36104-0271,1.0,Montgomery,AL,33860.0,388.0,-86.295677,32.364317,2019-01-01
105100,,Bachelor,Graduate,Public,Southeast,0.5906,,10780.0,29230.0,,14198.0,10225.0,,0.051,1252.0,0.3847,The University of Alabama,"Tuscaloosa, AL - 739 University Blvd",35487-0100,1.0,Tuscaloosa,AL,46220.0,-2.0,-87.545978,33.211875,2019-01-01
100700,,Certificate,Associate,Public,Southeast,,,4740.0,8610.0,,1771.0,6291.0,,0.196,,0.2104,Central Alabama Community College,"Alexander City, AL - 1675 Cherokee Rd",35010,1.0,Alexander City,AL,10760.0,388.0,-85.945266,32.92478,2019-01-01
100800,,Bachelor,Graduate,Public,Southeast,,,,,,6817.0,8538.0,,0.075,,0.5079,Athens State University,"Athens, AL - 300 N Beaty St",35611,1.0,Athens,AL,26620.0,290.0,-86.964698,34.806793,2019-01-01
831000,,Bachelor,Graduate,Public,Southeast,0.9281,,8404.0,17812.0,,7582.0,7678.0,,0.104,1084.0,0.5539,Auburn University at Montgomery,"Montgomery, AL - 7440 East Drive",36117-3596,1.0,Montgomery,AL,33860.0,388.0,-86.177544,32.36736,2019-01-01
100900,,Bachelor,Graduate,Public,Southeast,0.7543,,11276.0,30524.0,,15908.0,10428.0,,0.036,1289.0,0.3169,Auburn University,"Auburn, AL -  ",36849,1.0,Auburn,AL,12220.0,194.0,-85.488258,32.599378,2019-01-01
101200,,Bachelor,Bachelor,Private Non-Profit,Southeast,0.5666,,17650.0,17650.0,,11383.0,7688.0,,0.048,1232.0,0.4567,Birmingham-Southern College,"Birmingham, AL - 900 Arkadelphia Road",35254,1.0,Birmingham,AL,13820.0,142.0,-86.850552,33.513774,2019-01-01
1218200,,Associate,Associate,Public,Southeast,,,4738.0,8608.0,,2036.0,6113.0,,0.15,,0.2156,Chattahoochee Valley Community College,"Phenix City, AL - 2602 College Drive",36869,1.0,Phenix City,AL,17980.0,194.0,-85.031485,32.42391,2019-01-01
1303906,,Bachelor,Graduate,Private For-Profit,Southeast,,,17014.0,17014.0,,11386.0,5304.0,,0.116,,0.6585,South University-Montgomery,"Montgomery, AL - 5355 Vaughn Rd",36116,1.0,Montgomery,AL,33860.0,388.0,-86.216488,32.342684,2019-01-01
101500,,Associate,Associate,Public,Southeast,,,4740.0,8610.0,,2315.0,6335.0,,0.179,,0.1519,Enterprise State Community College,"Enterprise, AL - 600 Plaza Drive",36330-1300,1.0,Enterprise,AL,21460.0,-2.0,-85.836956,31.297496,2019-01-01
106000,,Associate,Associate,Public,Southeast,,,4740.0,8610.0,,2524.0,6343.0,,0.177,,0.2235,Coastal Alabama Community College,"Bay Minette, AL - 1900 U S Highway 31 South",36507-2698,1.0,Bay Minette,AL,19300.0,380.0,-87.778193,30.851343,2019-01-01
100300,,Bachelor,Graduate,Private Non-Profit,Southeast,0.5227,,21690.0,21690.0,,11044.0,5743.0,,0.125,1069.0,0.5988,Faulkner University,"Montgomery, AL - 5345 Atlanta Hwy",36109-3390,1.0,Montgomery,AL,33860.0,388.0,-86.21641,32.384181,2019-01-01
101700,,Associate,Associate,Public,Southeast,,,3840.0,7056.0,,1940.0,6433.0,,,,0.0,Gadsden State Community College,"Gadsden, AL - 1001 George Wallace Dr",35903,1.0,Gadsden,AL,23460.0,-2.0,-85.991438,33.994001,2019-01-01
4187200,,Certificate,Certificate,Private For-Profit,Southeast,,,,,11040.0,5408.0,,,0.065,,0.5401,New Beginning College of Cosmetology,"Albertville, AL - 421 Martling Road",35951,1.0,Albertville,AL,10700.0,-2.0,-86.196931,34.27871,2019-01-01
101800,,Associate,Associate,Public,Southeast,,,4680.0,8550.0,,2179.0,5991.0,,,,0.0,George C Wallace Community College-Dothan,"Dothan, AL - 1141 Wallace Drive",36303-9234,1.0,Dothan,AL,37120.0,222.0,-85.465836,31.315274,2019-01-01
787100,,Associate,Associate,Public,Southeast,,,4740.0,8610.0,,2845.0,5878.0,,0.142,,0.3007,George C Wallace State Community College-Hanceville,"Hanceville, AL - 801 Main St NW",35077-2000,1.0,Hanceville,AL,18980.0,142.0,-86.781935,34.072439,2019-01-01
569900,,Associate,Associate,Public,Southeast,,,4440.0,8310.0,,1538.0,5016.0,,,,0.0,George C Wallace State Community College-Selma,"Selma, AL - 3000 Earl Goodwin Parkway",36703-2808,1.0,Selma,AL,42820.0,388.0,-87.013294,32.445917,2019-01-01
962107,,Certificate,Graduate,Private Non-Profit,Southeast,0.95,,14000.0,14000.0,,13723.0,5988.0,,0.127,,0.7593,Herzing University-Birmingham,"Birmingham, AL - 280 West Valley Ave",35209,1.0,Birmingham,AL,13820.0,142.0,-86.832465,33.468466,2019-01-01
